location,city,lat,lng,avg_val,count_measurements
ES1672A,Valencia/València,39.708055549472,-0.83194444,9.0,4
ES1671A,Valencia/València,39.5586111094725,-1.28138888,6.0,3
ES1670A,Cádiz,36.1362299994882,-5.45343,8.026666666666666,3
ES1664A,Navarra,42.0747199994658,-1.62694,14.04,2
ES1661A,Sevilla,37.9943499994788,-5.66687,12.215,2
ES1654A,La Rioja,42.1758299994656,-1.74333,11.715,2
ES1649A,Cádiz,36.2338599994876,-5.6635,13.1,2
ES1648A,Murcia,37.9936111094788,-1.14472222,21.6,2
ES1633A,Valladolid,41.6455555494667,-4.73027777,16.5,2
ES1631A,Sevilla,37.3407499994818,-6.04246,8.92,3
ES1630A,Murcia,37.9755555494789,-1.23083333,12.879999999999999,2
ES1627A,Cádiz,36.6608599994853,-6.11449,11.18,2
ES1620A,Cáceres,39.8491699994716,-5.93972,8.98,2
ES1616A,Cáceres,39.4727799994728,-6.36028,5.949999999999999,2
ES1615A,Madrid,40.6663899994691,-3.77222,2.65,2
ES1613A,Madrid,40.4477799994697,-3.86722,4.333333333333333,3
ES1612A,Madrid,40.033277777471,-3.591644444,6.0,3
ES1611A,Illes Balears,39.5700799994725,2.65583,8.666666666666666,3
ES1610A,Illes Balears,39.5633199994725,2.62055,12.5,2
ES1604A,Badajoz,38.887629999475,-7.01145,7.0,2
ES1601A,Gipuzkoa,43.2505555494641,-2.155,2.5,2
ES1599A,Bizkaia,43.2130555494641,-3.13444444,6.25,4
ES1598A,Bizkaia,43.298333329464,-2.93027777,11.666666666666666,3
ES1595A,Cantabria,43.4605599994638,-3.80861,9.666666666666666,3
ES1580A,Cantabria,43.2644399994641,-4.06278,15.0,2
ES1579A,Cantabria,43.3824999994639,-3.22056,10.5,2
ES1578A,Cantabria,43.4208299994639,-3.84111,9.0,2
ES1577A,Cantabria,43.4044399994639,-3.84194,7.5,2
ES1576A,Asturias,43.3726749994639,-5.872797,4.5,2
ES1572A,Murcia,37.6888888794802,-1.70111111,13.0,2
ES1569A,Madrid,40.3241699994701,-3.87639,13.5,2
ES1568A,Madrid,40.33971999947,-3.73583,7.333333333333333,3
ES1567A,Madrid,40.2811099994702,-3.80167,3.3333333333333335,3
ES1565A,Madrid,40.5405599994694,-3.64472,1.6666666666666667,3
ES1564A,Madrid,40.4791699994696,-3.37778,3.0,3
ES1563A,Araba/Álava,42.8491666594646,-2.47722222,5.666666666666667,3
ES1544A,Castellón/Castelló,40.7349999994689,-0.16944444,9.0,4
ES1543A,Guadalajara,40.6298399994692,-3.17159,6.0,2
ES1537A,Madrid,40.3880555494699,-3.65138888,9.0,2
ES1532A,Cantabria,43.1533299994642,-4.25306,3.5,2
ES1531A,Cantabria,43.0119399994643,-4.13556,5.5,2
ES1530A,Cantabria,43.4677799994639,-3.79028,9.5,2
ES1529A,Madrid,40.4452777694697,-3.70638888,8.0,2
ES1525A,Illes Balears,39.8396199994716,3.02705,7.85,2
ES1518A,Illes Balears,39.8337899994716,3.1443,7.9,2
ES1517A,Araba/Álava,42.8547222194646,-2.68055555,7.55,2
ES1502A,Gipuzkoa,43.1799999994641,-2.26805555,8.0,4
ES1501A,Gipuzkoa,43.1308333294642,-2.07777777,5.25,4
ES1498A,Gipuzkoa,43.322777769464,-1.96027777,10.75,4
ES1494A,Araba/Álava,42.8555555494646,-2.66805555,13.666666666666666,3
ES1492A,Bizkaia,43.4061111094639,-2.70388888,5.666666666666667,3
ES1491A,Araba/Álava,42.8752777694645,-3.23138888,2.2,5
ES1489A,Castellón/Castelló,39.9819444394711,0.01055555,3.6666666666666665,3
ES1445A,Burgos,42.3361099994653,-3.63611,4.666666666666667,3
ES1443A,Gipuzkoa,43.0641666594643,-2.49,6.0,2
ES1442A,Castellón/Castelló,40.012777769471,-0.05722222,6.0,4
ES1386A,Granada,36.7431199994849,-3.5173,15.56,2
ES1370A,Pontevedra,42.4047222194652,-8.67027777,15.06,2
ES1366A,Ciudad Real,38.7027199994757,-4.112,11.0,2
ES1365A,Lugo,43.312777769464,-7.69305555,16.3,3
ES1359A,Asturias,43.5377709994638,-5.646307,8.45,2
ES1358A,Asturias,43.294116999464,-5.679632,10.0,2
ES1353A,Araba/Álava,43.1444444394642,-2.96333333,5.0,2
ES1349A,Asturias,43.5791699994637,-5.92726,7.333333333333333,3
ES1320A,Palencia,42.7952777694646,-4.84083333,13.0,2
ES1287A,Ciudad Real,38.6819799994758,-4.08858,10.5,2
ES1279A,Asturias,43.5388629994638,-5.698921,15.5,2
ES1271A,Asturias,43.3665299994639,-5.83303,13.0,2
ES1269A,Asturias,43.358289999464,-5.86643,6.5,2
ES1268A,Illes Balears,38.9138199994749,1.41426,10.0,3
ES1246A,Bizkaia,43.2674999994641,-2.91833333,8.0,2
ES1244A,Valencia/València,39.4561111094729,-0.37583333,5.5,4
ES1239A,Valencia/València,39.6672222194722,-0.23472222,6.0,2
ES1185A,Valencia/València,39.4811111094728,-0.44722222,3.0,2
ES1181A,A Coruña,43.367777769464,-8.41888888,10.333333333333334,3
ES1138A,Pontevedra,42.2191666594655,-8.74194444,18.0,2
ES1137A,Illes Balears,39.8909199994714,4.252975,12.0,2
ES1095A,Illes Balears,39.7899499994717,3.07413,8.05,2
ES1093A,Cantabria,43.355829999464,-4.06361,11.05,2
ES1039A,Cantabria,43.346389999464,-4.06417,15.5,2
ES1038A,Cantabria,43.3674999994639,-4.04278,12.0,2
ES1037A,Pontevedra,42.4341666594652,-8.67361111,7.0,2
ES0961A,Asturias,43.5518999994638,-5.918,4.0,2
ES0880A,Asturias,43.306656999464,-5.689716,9.0,2
ES0825A,Asturias,43.306899999464,-5.705672,10.5,2
ES0824A,Huelva,37.1856799994826,-6.96414,6.65,2
ES0823A,Bizkaia,43.2411111094641,-2.88416666,6.15,2
ES0805A,Murcia,37.6033333294806,-0.91333333,8.0,3
ES0651A,Bizkaia,43.320555549464,-3.07388888,5.0,2
ES0588A,Bizkaia,43.320833329464,-3.11305555,3.5,4
ES0587A,Illes Balears,39.7473099994719,3.01488,8.0,3
ES0296A,Madrid,40.3947222194698,-3.73194444,13.5,2
ES0126A,Madrid,40.4216666594698,-3.68222222,7.5,2
ES0118A,Bizkaia,43.302777769464,-2.97722222,10.0,2
ES0110A,Bizkaia,43.2611111094641,-2.94472222,14.0,3
ES0041A,,38.276432,-0.71009,5.066666666666666,3
Elx Carrus,,36.718216,-4.342426,6.120606060606062,165
El Candado,,36.148895,-5.352736,0.1165853658536585,205
Britannia House,,37.356056,-5.870996,5.672352941176471,170
Alcala de Guadaira - Barriada de la Liebre,,37.356056,-5.870996,4.890196078431369,153
